Aerial                         @2.2.6          aqua/Aerial
py36-sphinxcontrib-svg2pdfconverter @1.2.0          python/py-sphinxcontrib-svg2pdfconverter
py37-sphinxcontrib-svg2pdfconverter @1.2.0          python/py-sphinxcontrib-svg2pdfconverter
py38-sphinxcontrib-svg2pdfconverter @1.2.0          python/py-sphinxcontrib-svg2pdfconverter
py39-sphinxcontrib-svg2pdfconverter @1.2.0          python/py-sphinxcontrib-svg2pdfconverter
py310-sphinxcontrib-svg2pdfconverter @1.2.0          python/py-sphinxcontrib-svg2pdfconverter
py-sphinxcontrib-versioning    @2.2.1          python/py-sphinxcontrib-versioning
py37-sphinxcontrib-versioning  @2.2.1          python/py-sphinxcontrib-versioning
py38-sphinxcontrib-versioning  @2.2.1          python/py-sphinxcontrib-versioning
py-sphinxcontrib-websupport    @1.2.4          python/py-sphinxcontrib-websupport
py27-sphinxcontrib-websupport  @1.1.2          python/py-sphinxcontrib-websupport
py35-sphinxcontrib-websupport  @1.2.4          python/py-sphinxcontrib-websupport
py36-sphinxcontrib-websupport  @1.2.4          python/py-sphinxcontrib-websupport
py37-sphinxcontrib-websupport  @1.2.4          python/py-sphinxcontrib-websupport
py38-sphinxcontrib-websupport  @1.2.4          python/py-sphinxcontrib-websupport
py39-sphinxcontrib-websupport  @1.2.4          python/py-sphinxcontrib-websupport
py310-sphinxcontrib-websupport @1.2.4          python/py-sphinxcontrib-websupport
py-spiceypy                    @4.0.0          python/py-spiceypy
py37-spiceypy                  @4.0.0          python/py-spiceypy
py38-spiceypy                  @4.0.0          python/py-spiceypy
py-spotipy                     @2.19.0         python/py-spotipy
py38-spotipy                   @2.19.0         python/py-spotipy
py39-spotipy                   @2.19.0         python/py-spotipy
py310-spotipy                  @2.19.0         python/py-spotipy
py-spyder                      @5.1.5          python/py-spyder
py36-spyder                    @5.1.5          python/py-spyder
py37-spyder                    @5.1.5          python/py-spyder
py38-spyder                    @5.1.5          python/py-spyder
py39-spyder                    @5.1.5          python/py-spyder
py-spyder-devel                @20210923-4bbe5384 python/py-spyder-devel
py36-spyder-devel              @20210923-4bbe5384 python/py-spyder-devel
py37-spyder-devel              @20210923-4bbe5384 python/py-spyder-devel
py38-spyder-devel              @20210923-4bbe5384 python/py-spyder-devel
py39-spyder-devel              @20210923-4bbe5384 python/py-spyder-devel
py-spyder-kernels              @2.1.3          python/py-spyder-kernels
py36-spyder-kernels            @2.1.3          python/py-spyder-kernels
py37-spyder-kernels            @2.1.3          python/py-spyder-kernels
py38-spyder-kernels            @2.1.3          python/py-spyder-kernels
py39-spyder-kernels            @2.1.3          python/py-spyder-kernels
py-spyder-kernels-devel        @20210731-db5aebe7 python/py-spyder-kernels-devel
py36-spyder-kernels-devel      @20210731-db5aebe7 python/py-spyder-kernels-devel
py37-spyder-kernels-devel      @20210731-db5aebe7 python/py-spyder-kernels-devel
py38-spyder-kernels-devel      @20210731-db5aebe7 python/py-spyder-kernels-devel
py39-spyder-kernels-devel      @20210731-db5aebe7 python/py-spyder-kernels-devel
py-sqlalchemy                  @1.4.26         python/py-sqlalchemy
py27-sqlalchemy                @1.4.26         python/py-sqlalchemy
py35-sqlalchemy                @1.3.23         python/py-sqlalchemy
py36-sqlalchemy                @1.4.26         python/py-sqlalchemy
py37-sqlalchemy                @1.4.26         python/py-sqlalchemy
py38-sqlalchemy                @1.4.26         python/py-sqlalchemy
py39-sqlalchemy                @1.4.26         python/py-sqlalchemy
py310-sqlalchemy               @1.4.26         python/py-sqlalchemy
py-sqlalchemy-migrate          @0.13.0         python/py-sqlalchemy-migrate
py27-sqlalchemy-migrate        @0.13.0         python/py-sqlalchemy-migrate
py35-sqlalchemy-migrate        @0.13.0         python/py-sqlalchemy-migrate
py36-sqlalchemy-migrate        @0.13.0         python/py-sqlalchemy-migrate
py37-sqlalchemy-migrate        @0.13.0         python/py-sqlalchemy-migrate
py38-sqlalchemy-migrate        @0.13.0         python/py-sqlalchemy-migrate
py39-sqlalchemy-migrate        @0.13.0         python/py-sqlalchemy-migrate
py-sqlite                      @2.8.3          python/py-sqlite
py27-sqlite                    @2.8.3          python/py-sqlite
py-sqlobject                   @3.8.0          python/py-sqlobject
py27-sqlobject                 @3.8.0          python/py-sqlobject
py37-sqlobject                 @3.8.0          python/py-sqlobject
py38-sqlobject                 @3.8.0          python/py-sqlobject
py-sqlparse                    @0.4.2          python/py-sqlparse
py27-sqlparse                  @0.3.1          python/py-sqlparse
py35-sqlparse                  @0.4.2          python/py-sqlparse
py36-sqlparse                  @0.4.2          python/py-sqlparse
py37-sqlparse                  @0.4.2          python/py-sqlparse
py38-sqlparse                  @0.4.2          python/py-sqlparse
py39-sqlparse                  @0.4.2          python/py-sqlparse
py-srs                         @1.0.3          python/py-srs
py27-srs                       @1.0.3          python/py-srs
py-srsly                       @2.4.2          python/py-srsly
py36-srsly                     @2.4.2          python/py-srsly
py37-srsly                     @2.4.2          python/py-srsly
py38-srsly                     @2.4.2          python/py-srsly
py39-srsly                     @2.4.2          python/py-srsly
py310-srsly                    @2.4.2          python/py-srsly
py-ssh                         @0.3            python/py-ssh
py27-ssh                       @0.3            python/py-ssh
py-stack_data                  @0.1.1          python/py-stack_data
py37-stack_data                @0.1.1          python/py-stack_data
py38-stack_data                @0.1.1          python/py-stack_data
py39-stack_data                @0.1.1          python/py-stack_data
py-stanfordnlp                 @0.2.0          python/py-stanfordnlp
py27-stanfordnlp               @0.2.0          python/py-stanfordnlp
py37-stanfordnlp               @0.2.0          python/py-stanfordnlp
py38-stanfordnlp               @0.2.0          python/py-stanfordnlp
py-starlette                   @0.14.2         python/py-starlette
py37-starlette                 @0.14.2         python/py-starlette
py38-starlette                 @0.14.2         python/py-starlette
py39-starlette                 @0.14.2         python/py-starlette
py-statprof                    @0.1.2          python/py-statprof
py27-statprof                  @0.1.2          python/py-statprof
py-statsmodels                 @0.13.0         python/py-statsmodels
py27-statsmodels               @0.10.2         python/py-statsmodels
py35-statsmodels               @0.10.2         python/py-statsmodels
py36-statsmodels               @0.13.0         python/py-statsmodels
py37-statsmodels               @0.13.0         python/py-statsmodels
py38-statsmodels               @0.13.0         python/py-statsmodels
py39-statsmodels               @0.13.0         python/py-statsmodels
py310-statsmodels              @0.13.0         python/py-statsmodels
py-stemmer                     @1.3.0          python/py-stemmer
py27-stemmer                   @1.3.0          python/py-stemmer
py-stevedore                   @1.31.0         python/py-stevedore
py27-stevedore                 @1.31.0         python/py-stevedore
py35-stevedore                 @1.31.0         python/py-stevedore
py36-stevedore                 @1.31.0         python/py-stevedore
py37-stevedore                 @1.31.0         python/py-stevedore
py38-stevedore                 @1.31.0         python/py-stevedore
py39-stevedore                 @1.31.0         python/py-stevedore
py-stfio                       @0.15.8         python/py-stfio
py27-stfio                     @0.15.8         python/py-stfio
py35-stfio                     @0.15.8         python/py-stfio
py36-stfio                     @0.15.8         python/py-stfio
py37-stfio                     @0.15.8         python/py-stfio
py-stomper                     @0.4.3          python/py-stomper
py27-stomper                   @0.4.3          python/py-stomper
py37-stomper                   @0.4.3          python/py-stomper
py-stopit                      @1.1.2          python/py-stopit
py27-stopit                    @1.1.2          python/py-stopit
py35-stopit                    @1.1.2          python/py-stopit
py36-stopit                    @1.1.2          python/py-stopit
py37-stopit                    @1.1.2          python/py-stopit
py38-stopit                    @1.1.2          python/py-stopit
py39-stopit                    @1.1.2          python/py-stopit
py-stopwordsiso                @0.6.1          python/py-stopwordsiso
py37-stopwordsiso              @0.6.1          python/py-stopwordsiso
py38-stopwordsiso              @0.6.1          python/py-stopwordsiso
py39-stopwordsiso              @0.6.1          python/py-stopwordsiso
py-storm                       @0.22           python/py-storm
py27-storm                     @0.22           python/py-storm
py37-storm                     @0.22           python/py-storm
py38-storm                     @0.22           python/py-storm
py-strict-rfc3339              @0.7            python/py-strict-rfc3339
py27-strict-rfc3339            @0.7            python/py-strict-rfc3339
py35-strict-rfc3339            @0.7            python/py-strict-rfc3339
py36-strict-rfc3339            @0.7            python/py-strict-rfc3339
py-structlog                   @21.2.0         python/py-structlog
py27-structlog                 @20.1.0         python/py-structlog
py37-structlog                 @21.2.0         python/py-structlog
py38-structlog                 @21.2.0         python/py-structlog
py39-structlog                 @21.2.0         python/py-structlog
py-subprocess32                @3.5.4          python/py-subprocess32
py27-subprocess32              @3.5.4          python/py-subprocess32
py-subvertpy                   @0.10.1         python/py-subvertpy
py27-subvertpy                 @0.10.1         python/py-subvertpy
py35-subvertpy                 @0.10.1         python/py-subvertpy
py36-subvertpy                 @0.10.1         python/py-subvertpy
py37-subvertpy                 @0.10.1         python/py-subvertpy
py-suds                        @0.4            python/py-suds
py27-suds                      @0.4            python/py-suds
py-suds-jurko                  @0.6            python/py-suds-jurko
py27-suds-jurko                @0.6            python/py-suds-jurko
py35-suds-jurko                @0.6            python/py-suds-jurko
py36-suds-jurko                @0.6            python/py-suds-jurko
py-sumy                        @0.8.1          python/py-sumy
py27-sumy                      @0.8.1          python/py-sumy
py35-sumy                      @0.8.1          python/py-sumy
py36-sumy                      @0.8.1          python/py-sumy
py37-sumy                      @0.8.1          python/py-sumy
py-sunpy                       @3.1.1          python/py-sunpy
py37-sunpy                     @3.1.1          python/py-sunpy
py38-sunpy                     @3.1.1          python/py-sunpy
py39-sunpy                     @3.1.1          python/py-sunpy
py-supervisor                  @4.1.0          python/py-supervisor
py27-supervisor                @4.1.0          python/py-supervisor
py37-supervisor                @4.1.0          python/py-supervisor
py-sure                        @1.4.11         python/py-sure
py37-sure                      @1.4.11         python/py-sure
py-svipc                       @0.16           python/py-svipc
py27-svipc                     @0.16           python/py-svipc
py35-svipc                     @0.16           python/py-svipc
py36-svipc                     @0.16           python/py-svipc
py37-svipc                     @0.16           python/py-svipc
yorick-svipc                   @0.16           python/py-svipc
py-svnreporter                 @0.4            python/py-svnreporter
py27-svnreporter               @0.4            python/py-svnreporter
py-swap                        @3.1.3          python/py-swap
py27-swap                      @3.1.3          python/py-swap
py-swiginac                    @1.5.1.1        python/py-swiginac
py27-swiginac                  @1.5.1.1        python/py-swiginac
py-sybil                       @2.0.1          python/py-sybil
py27-sybil                     @2.0.1          python/py-sybil
py35-sybil                     @2.0.1          python/py-sybil
py36-sybil                     @2.0.1          python/py-sybil
py37-sybil                     @2.0.1          python/py-sybil
py38-sybil                     @2.0.1          python/py-sybil
py-sympy                       @1.9            python/py-sympy
py27-sympy                     @1.5.1          python/py-sympy
py35-sympy                     @1.5.1          python/py-sympy
py36-sympy                     @1.9            python/py-sympy
py37-sympy                     @1.9            python/py-sympy
py38-sympy                     @1.9            python/py-sympy
py39-sympy                     @1.9            python/py-sympy
py310-sympy                    @1.9            python/py-sympy
py-sympy_select                @0.2            python/py-sympy_select
py-tables                      @3.6.1          python/py-tables
py27-tables                    @3.5.2          python/py-tables
py36-tables                    @3.6.1          python/py-tables
py37-tables                    @3.6.1          python/py-tables
py38-tables                    @3.6.1          python/py-tables
py39-tables                    @3.6.1          python/py-tables
py-tabulate                    @0.8.9          python/py-tabulate
py27-tabulate                  @0.8.9          python/py-tabulate
py35-tabulate                  @0.8.9          python/py-tabulate
py36-tabulate                  @0.8.9          python/py-tabulate
py37-tabulate                  @0.8.9          python/py-tabulate
py38-tabulate                  @0.8.9          python/py-tabulate
py39-tabulate                  @0.8.9          python/py-tabulate
py-tagcloud                    @0.3.5          python/py-tagcloud
py27-tagcloud                  @0.3.5          python/py-tagcloud
py-tahchee                     @1.0.0          python/py-tahchee
py27-tahchee                   @1.0.0          python/py-tahchee
py-tail                        @0.4.1          python/py-tail
py27-tail                      @0.4.1          python/py-tail
py-taskplan                    @1.3.3          python/py-taskplan
py27-taskplan                  @1.3.3          python/py-taskplan
py-taskw                       @0.8.6          python/py-taskw
py27-taskw                     @0.8.6          python/py-taskw
py35-taskw                     @0.8.6          python/py-taskw
py36-taskw                     @0.8.6          python/py-taskw
py-tastypie                    @0.14.3         python/py-tastypie
py27-tastypie                  @0.14.3         python/py-tastypie
py37-tastypie                  @0.14.3         python/py-tastypie
py-tatsu                       @5.6.1          python/py-tatsu
py27-tatsu                     @4.4.0          python/py-tatsu
py35-tatsu                     @4.4.0          python/py-tatsu
py36-tatsu                     @5.5.0          python/py-tatsu
py37-tatsu                     @5.5.0          python/py-tatsu
py38-tatsu                     @5.6.1          python/py-tatsu
py39-tatsu                     @5.6.1          python/py-tatsu
py-tblib                       @1.7.0          python/py-tblib
py27-tblib                     @1.7.0          python/py-tblib
py35-tblib                     @1.7.0          python/py-tblib
py36-tblib                     @1.7.0          python/py-tblib
py37-tblib                     @1.7.0          python/py-tblib
py38-tblib                     @1.7.0          python/py-tblib
py39-tblib                     @1.7.0          python/py-tblib
py-tc                          @0.7.2          python/py-tc
py27-tc                        @0.7.2          python/py-tc
py35-tc                        @0.7.2          python/py-tc
py36-tc                        @0.7.2          python/py-tc
py-tclink                      @3.4            python/py-tclink
py27-tclink                    @3.4            python/py-tclink
py-tempita                     @0.5.2          python/py-tempita
py27-tempita                   @0.5.2          python/py-tempita
py35-tempita                   @0.5.2          python/py-tempita
py36-tempita                   @0.5.2          python/py-tempita
py37-tempita                   @0.5.2          python/py-tempita
py38-tempita                   @0.5.2          python/py-tempita
py39-tempita                   @0.5.2          python/py-tempita
py-tempora                     @4.1.2          python/py-tempora
py27-tempora                   @1.14.1         python/py-tempora
py35-tempora                   @1.14.1         python/py-tempora
py36-tempora                   @4.1.2          python/py-tempora
py37-tempora                   @4.1.2          python/py-tempora
py38-tempora                   @4.1.2          python/py-tempora
py39-tempora                   @4.1.2          python/py-tempora
py310-tempora                  @4.1.2          python/py-tempora
py-tenacity                    @8.0.1          python/py-tenacity
py37-tenacity                  @8.0.1          python/py-tenacity
py38-tenacity                  @8.0.1          python/py-tenacity
py39-tenacity                  @8.0.1          python/py-tenacity
py310-tenacity                 @8.0.1          python/py-tenacity
py-tensor2tensor               @1.15.7         python/py-tensor2tensor
py37-tensor2tensor             @1.15.7         python/py-tensor2tensor
py38-tensor2tensor             @1.15.7         python/py-tensor2tensor
py39-tensor2tensor             @1.15.7         python/py-tensor2tensor
py-tensorboard                 @2.6.0          python/py-tensorboard
py37-tensorboard               @2.6.0          python/py-tensorboard
py38-tensorboard               @2.6.0          python/py-tensorboard
py39-tensorboard               @2.6.0          python/py-tensorboard
py-tensorboard1                @1.15.0         python/py-tensorboard1
py27-tensorboard1              @1.15.0         python/py-tensorboard1
py36-tensorboard1              @1.15.0         python/py-tensorboard1
py37-tensorboard1              @1.15.0         python/py-tensorboard1
py38-tensorboard1              @1.15.0         python/py-tensorboard1
py39-tensorboard1              @1.15.0         python/py-tensorboard1
py-tensorboardX                @2.1            python/py-tensorboardX
py37-tensorboardX              @2.1            python/py-tensorboardX
py38-tensorboardX              @2.1            python/py-tensorboardX
py39-tensorboardX              @2.1            python/py-tensorboardX
py-tensorflow                  @2.6.0          python/py-tensorflow
py37-tensorflow                @2.6.0          python/py-tensorflow
py38-tensorflow                @2.6.0          python/py-tensorflow
py39-tensorflow                @2.6.0          python/py-tensorflow
py-tensorflow-addons           @0.12.1         python/py-tensorflow-addons
py37-tensorflow-addons         @0.12.1         python/py-tensorflow-addons
py38-tensorflow-addons         @0.12.1         python/py-tensorflow-addons
py39-tensorflow-addons         @0.12.1         python/py-tensorflow-addons
py-tensorflow-data-validation  @0.28.0         python/py-tensorflow-data-validation
py37-tensorflow-data-validation @0.28.0         python/py-tensorflow-data-validation
py38-tensorflow-data-validation @0.28.0         python/py-tensorflow-data-validation
py39-tensorflow-data-validation @0.28.0         python/py-tensorflow-data-validation
py-tensorflow-datasets         @4.3.0          python/py-tensorflow-datasets
py37-tensorflow-datasets       @4.3.0          python/py-tensorflow-datasets
py38-tensorflow-datasets       @4.3.0          python/py-tensorflow-datasets
py39-tensorflow-datasets       @4.3.0          python/py-tensorflow-datasets
py-tensorflow-gan              @2.0.0          python/py-tensorflow-gan
py37-tensorflow-gan            @2.0.0          python/py-tensorflow-gan
py38-tensorflow-gan            @2.0.0          python/py-tensorflow-gan
py39-tensorflow-gan            @2.0.0          python/py-tensorflow-gan
py-tensorflow-hub              @0.11.0         python/py-tensorflow-hub
py37-tensorflow-hub            @0.11.0         python/py-tensorflow-hub
py38-tensorflow-hub            @0.11.0         python/py-tensorflow-hub
py39-tensorflow-hub            @0.11.0         python/py-tensorflow-hub
py-tensorflow-macos            @2.6.0          python/py-tensorflow-macos
py38-tensorflow-macos          @2.6.0          python/py-tensorflow-macos
py-tensorflow-metadata         @0.29.0         python/py-tensorflow-metadata
py37-tensorflow-metadata       @0.29.0         python/py-tensorflow-metadata
py38-tensorflow-metadata       @0.29.0         python/py-tensorflow-metadata
py39-tensorflow-metadata       @0.29.0         python/py-tensorflow-metadata
py-tensorflow-metal            @0.2.0          python/py-tensorflow-metal
py38-tensorflow-metal          @0.2.0          python/py-tensorflow-metal
py-tensorflow-probability      @0.12.1         python/py-tensorflow-probability
py37-tensorflow-probability    @0.12.1         python/py-tensorflow-probability
py38-tensorflow-probability    @0.12.1         python/py-tensorflow-probability
py39-tensorflow-probability    @0.12.1         python/py-tensorflow-probability
py-tensorflow-transform        @0.28.0         python/py-tensorflow-transform
py37-tensorflow-transform      @0.28.0         python/py-tensorflow-transform
py38-tensorflow-transform      @0.28.0         python/py-tensorflow-transform
py39-tensorflow-transform      @0.28.0         python/py-tensorflow-transform
py-tensorflow1                 @1.15.5         python/py-tensorflow1
py37-tensorflow1               @1.15.5         python/py-tensorflow1
py38-tensorflow1               @1.15.5         python/py-tensorflow1
py39-tensorflow1               @1.15.5         python/py-tensorflow1
py-tensorflow_estimator        @2.6.0          python/py-tensorflow_estimator
py37-tensorflow_estimator      @2.6.0          python/py-tensorflow_estimator
py38-tensorflow_estimator      @2.6.0          python/py-tensorflow_estimator
py39-tensorflow_estimator      @2.6.0          python/py-tensorflow_estimator
py-tensorflow_estimator1       @1.15.2         python/py-tensorflow_estimator1
py27-tensorflow_estimator1     @1.15.2         python/py-tensorflow_estimator1
py36-tensorflow_estimator1     @1.15.2         python/py-tensorflow_estimator1
py37-tensorflow_estimator1     @1.15.2         python/py-tensorflow_estimator1
py38-tensorflow_estimator1     @1.15.2         python/py-tensorflow_estimator1
py39-tensorflow_estimator1     @1.15.2         python/py-tensorflow_estimator1
py-tensorflow_macos            @0.1            python/py-tensorflow_macos
py38-tensorflow_macos          @0.1            python/py-tensorflow_macos
py-term-background             @1.0.1          python/py-term-background
py37-term-background           @1.0.1          python/py-term-background
py38-term-background           @1.0.1          python/py-term-background
py39-term-background           @1.0.1          python/py-term-background
py310-term-background          @1.0.1          python/py-term-background
py-termcolor                   @1.1.0          python/py-termcolor
py27-termcolor                 @1.1.0          python/py-termcolor
py35-termcolor                 @1.1.0          python/py-termcolor
py36-termcolor                 @1.1.0          python/py-termcolor
py37-termcolor                 @1.1.0          python/py-termcolor
py38-termcolor                 @1.1.0          python/py-termcolor
py39-termcolor                 @1.1.0          python/py-termcolor
py-terminado                   @0.9.4          python/py-terminado
py27-terminado                 @0.8.3          python/py-terminado
py35-terminado                 @0.8.3          python/py-terminado
py36-terminado                 @0.9.4          python/py-terminado
py37-terminado                 @0.9.4          python/py-terminado
py38-terminado                 @0.9.4          python/py-terminado
py39-terminado                 @0.9.4          python/py-terminado
py310-terminado                @0.9.4          python/py-terminado
py-terminaltables              @3.1.0          python/py-terminaltables
py27-terminaltables            @3.1.0          python/py-terminaltables
py36-terminaltables            @3.1.0          python/py-terminaltables
py37-terminaltables            @3.1.0          python/py-terminaltables
py38-terminaltables            @3.1.0          python/py-terminaltables
py39-terminaltables            @3.1.0          python/py-terminaltables
py-termplotlib                 @0.3.9          python/py-termplotlib
py37-termplotlib               @0.3.9          python/py-termplotlib
py38-termplotlib               @0.3.9          python/py-termplotlib
py39-termplotlib               @0.3.9          python/py-termplotlib
py-termtables                  @0.2.4          python/py-termtables
py37-termtables                @0.2.4          python/py-termtables
py38-termtables                @0.2.4          python/py-termtables
py39-termtables                @0.2.4          python/py-termtables
py-test-runner                 @0.7.0          python/py-test-runner
py36-test-runner               @0.7.0          python/py-test-runner
py37-test-runner               @0.7.0          python/py-test-runner
py38-test-runner               @0.7.0          python/py-test-runner
py-testfixtures                @6.18.3         python/py-testfixtures
py27-testfixtures              @6.18.3         python/py-testfixtures
py36-testfixtures              @6.18.3         python/py-testfixtures
py37-testfixtures              @6.18.3         python/py-testfixtures
py38-testfixtures              @6.18.3         python/py-testfixtures
py39-testfixtures              @6.18.3         python/py-testfixtures
py310-testfixtures             @6.18.3         python/py-testfixtures
py-testpath                    @0.5.0          python/py-testpath
py27-testpath                  @0.4.4          python/py-testpath
py35-testpath                  @0.4.4          python/py-testpath
py36-testpath                  @0.5.0          python/py-testpath
py37-testpath                  @0.5.0          python/py-testpath
py38-testpath                  @0.5.0          python/py-testpath
py39-testpath                  @0.5.0          python/py-testpath
py310-testpath                 @0.5.0          python/py-testpath
py-testtools                   @2.3.0          python/py-testtools
py27-testtools                 @2.3.0          python/py-testtools
py37-testtools                 @2.3.0          python/py-testtools
py-text-unidecode              @1.3            python/py-text-unidecode
py27-text-unidecode            @1.3            python/py-text-unidecode
py35-text-unidecode            @1.3            python/py-text-unidecode
py36-text-unidecode            @1.3            python/py-text-unidecode
py37-text-unidecode            @1.3            python/py-text-unidecode
py38-text-unidecode            @1.3            python/py-text-unidecode
py39-text-unidecode            @1.3            python/py-text-unidecode
py310-text-unidecode           @1.3            python/py-text-unidecode
py-textdistance                @4.2.2          python/py-textdistance
py36-textdistance              @4.2.2          python/py-textdistance
py37-textdistance              @4.2.2          python/py-textdistance
py38-textdistance              @4.2.2          python/py-textdistance
py39-textdistance              @4.2.2          python/py-textdistance
py310-textdistance             @4.2.2          python/py-textdistance
py-textile                     @2.2.1          python/py-textile
py27-textile                   @2.2.1          python/py-textile
py35-textile                   @2.2.1          python/py-textile
py36-textile                   @2.2.1          python/py-textile
py-texttable                   @1.6.3          python/py-texttable
py27-texttable                 @1.6.3          python/py-texttable
py35-texttable                 @1.6.3          python/py-texttable
py36-texttable                 @1.6.3          python/py-texttable
py37-texttable                 @1.6.3          python/py-texttable
py38-texttable                 @1.6.3          python/py-texttable
py39-texttable                 @1.6.3          python/py-texttable
py310-texttable                @1.6.3          python/py-texttable
py-tf-slim                     @1.1.0          python/py-tf-slim
py37-tf-slim                   @1.1.0          python/py-tf-slim
py38-tf-slim                   @1.1.0          python/py-tf-slim
py39-tf-slim                   @1.1.0          python/py-tf-slim
py-tfx-bsl                     @0.28.1         python/py-tfx-bsl
py37-tfx-bsl                   @0.28.1         python/py-tfx-bsl
py38-tfx-bsl                   @0.28.1         python/py-tfx-bsl
py39-tfx-bsl                   @0.28.1         python/py-tfx-bsl
py-theano                      @1.0.5          python/py-theano
py27-theano                    @1.0.5          python/py-theano
py35-theano                    @1.0.5          python/py-theano
py36-theano                    @1.0.5          python/py-theano
py37-theano                    @1.0.5          python/py-theano
py38-theano                    @1.0.5          python/py-theano
py-theano-pymc                 @1.1.2          python/py-theano-pymc
py36-theano-pymc               @1.0.11         python/py-theano-pymc
py37-theano-pymc               @1.1.2          python/py-theano-pymc
py38-theano-pymc               @1.1.2          python/py-theano-pymc
py39-theano-pymc               @1.1.2          python/py-theano-pymc
py-thinc                       @8.0.13         python/py-thinc
py36-thinc                     @8.0.13         python/py-thinc
py37-thinc                     @8.0.13         python/py-thinc
py38-thinc                     @8.0.13         python/py-thinc
py39-thinc                     @8.0.13         python/py-thinc
py310-thinc                    @8.0.13         python/py-thinc
py-threadpool                  @1.3.2          python/py-threadpool
py27-threadpool                @1.3.2          python/py-threadpool
py35-threadpool                @1.3.2          python/py-threadpool
py36-threadpool                @1.3.2          python/py-threadpool
py-threadpoolctl               @3.0.0          python/py-threadpoolctl
py36-threadpoolctl             @3.0.0          python/py-threadpoolctl
py37-threadpoolctl             @3.0.0          python/py-threadpoolctl
py38-threadpoolctl             @3.0.0          python/py-threadpoolctl
py39-threadpoolctl             @3.0.0          python/py-threadpoolctl
py-three-merge                 @0.1.1          python/py-three-merge
py35-three-merge               @0.1.1          python/py-three-merge
py36-three-merge               @0.1.1          python/py-three-merge
py37-three-merge               @0.1.1          python/py-three-merge
py38-three-merge               @0.1.1          python/py-three-merge
py39-three-merge               @0.1.1          python/py-three-merge
py310-three-merge              @0.1.1          python/py-three-merge
py-thrift                      @0.13.0         python/py-thrift
py27-thrift                    @0.13.0         python/py-thrift
py35-thrift                    @0.13.0         python/py-thrift
py36-thrift                    @0.13.0         python/py-thrift
py37-thrift                    @0.13.0         python/py-thrift
py38-thrift                    @0.13.0         python/py-thrift
py-tiff                        @0.1.6          python/py-tiff
py27-tiff                      @0.1.6          python/py-tiff
py-tifffile                    @2021.11.2      python/py-tifffile
py37-tifffile                  @2021.11.2      python/py-tifffile
py38-tifffile                  @2021.11.2      python/py-tifffile
py39-tifffile                  @2021.11.2      python/py-tifffile
py-timeformat                  @1.1.0          python/py-timeformat
py27-timeformat                @1.1.0          python/py-timeformat
py-timeout-decorator           @0.5.0          python/py-timeout-decorator
py37-timeout-decorator         @0.5.0          python/py-timeout-decorator
py38-timeout-decorator         @0.5.0          python/py-timeout-decorator
py39-timeout-decorator         @0.5.0          python/py-timeout-decorator
py-tinycss                     @0.4            python/py-tinycss
py27-tinycss                   @0.4            python/py-tinycss
py35-tinycss                   @0.4            python/py-tinycss
py36-tinycss                   @0.4            python/py-tinycss
py37-tinycss                   @0.4            python/py-tinycss
py38-tinycss                   @0.4            python/py-tinycss
py39-tinycss                   @0.4            python/py-tinycss
py-tinycss2                    @1.1.0          python/py-tinycss2
py36-tinycss2                  @1.1.0          python/py-tinycss2
py37-tinycss2                  @1.1.0          python/py-tinycss2
py38-tinycss2                  @1.1.0          python/py-tinycss2
py39-tinycss2                  @1.1.0          python/py-tinycss2
py310-tinycss2                 @1.1.0          python/py-tinycss2
py-tkinter                     @2.4.6          python/py-tkinter
py26-tkinter                   @2.6.9          python/py-tkinter
py27-tkinter                   @2.7.18         python/py-tkinter
py32-tkinter                   @3.2.6          python/py-tkinter
py33-tkinter                   @3.3.7          python/py-tkinter
py34-tkinter                   @3.4.10         python/py-tkinter
py35-tkinter                   @3.5.10         python/py-tkinter
py36-tkinter                   @3.6.15         python/py-tkinter
py37-tkinter                   @3.7.12         python/py-tkinter
py38-tkinter                   @3.8.12         python/py-tkinter
py39-tkinter                   @3.9.8          python/py-tkinter
py310-tkinter                  @3.10.0         python/py-tkinter
py-tldextract                  @3.1.2          python/py-tldextract
py36-tldextract                @3.1.2          python/py-tldextract
py37-tldextract                @3.1.2          python/py-tldextract
py38-tldextract                @3.1.2          python/py-tldextract
py39-tldextract                @3.1.2          python/py-tldextract
py-tlsh                        @3.17.0         python/py-tlsh
py37-tlsh                      @3.17.0         python/py-tlsh
py38-tlsh                      @3.17.0         python/py-tlsh
py-tlslite                     @0.4.9          python/py-tlslite
py27-tlslite                   @0.4.9          python/py-tlslite
py-tmuxp                       @1.9.3          python/py-tmuxp
py36-tmuxp                     @1.9.3          python/py-tmuxp
py37-tmuxp                     @1.9.3          python/py-tmuxp
py38-tmuxp                     @1.9.3          python/py-tmuxp
py39-tmuxp                     @1.9.3          python/py-tmuxp
py310-tmuxp                    @1.9.3          python/py-tmuxp
py-tokenize-rt                 @4.2.1          python/py-tokenize-rt
py39-tokenize-rt               @4.2.1          python/py-tokenize-rt
py310-tokenize-rt              @4.2.1          python/py-tokenize-rt
py-tokenizers                  @0.10.2         python/py-tokenizers
py37-tokenizers                @0.10.2         python/py-tokenizers
py38-tokenizers                @0.10.2         python/py-tokenizers
py39-tokenizers                @0.10.2         python/py-tokenizers
py-toml                        @0.10.2         python/py-toml
py27-toml                      @0.10.2         python/py-toml
py34-toml                      @0.10.2         python/py-toml
